,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
0.192361111,tt0280403,"Adios, amor...",FALSE,NA,en,0.619,NA,6/09/1973,0,0,5,3
0.193055556,,Koncz Zsuzsa - Ki nevet a végén koncert,FALSE,Music,hu,0.6,NA,1/01/2003,0,0,0,0
0.19375,tt2233066,"Thomas & Friends: Races, Rescues and Runaways and Other Thomas Adventures",FALSE,NA,en,0.6,NA,23/07/2002,0,0,4.3,3
0.194444444,,A Night In The Office,FALSE,Comedy,en,0.6,Taiwan,25/05/2014,0,0,0,0
0.195138889,tt1691924,Blood Redd,FALSE,Horror,en,1.849,United States of America,1/01/2014,0,0,5.1,8
0.196527778,tt3520616,Simon Cudotvorac,FALSE,Comedy,hr,0.934,Croatia,1/01/2013,0,0,6.3,3
0.197916667,tt0367734,Filthy,FALSE,Thriller,en,0.6,United States of America,31/05/2003,0,0,0,0
0.2,tt2442136,Rufus Wainwright - Live from the Artists Den,FALSE,Music,en,0.6,United States of America,3/03/2014,0,0,9,1
0.200694444,tt1661204,Der Eimer und die Mona Lisa,FALSE,Drama,de,0.6,Germany,16/11/1983,0,0,0,0
0.201388889,tt0287091,Verbrechen nach Schulschluß,FALSE,Crime,de,0.6,Germany,22/05/1975,0,0,6,1
0.202083333,tt5082298,Herr Lenz reist in den Frühling,FALSE,TV Movie,de,0.6,Germany,30/01/2016,0,0,5,1
0.203472222,tt5864970,Sibling Topics (Section A),FALSE,NA,en,0.843,NA,19/04/2009,0,0,0,0
0.204166667,tt5082364,Schandfleck - Der Usedom-Krimi,FALSE,TV Movie,de,0.6,Germany,5/10/2015,0,0,5,2
0.204861111,tt2157326,Neun,FALSE,Drama,de,0.6,Germany,20/11/2005,0,0,0,0
0.205555556,tt5126220,Marc Maron: More Later,FALSE,Comedy,en,1.578,United States of America,4/12/2015,0,0,7.1,9
0.206944444,tt0393662,Die Rückkehr des Vaters,FALSE,Drama,de,0.6,Germany,12/01/2004,0,0,7,1
0.207638889,tt0097281,Enrapture,FALSE,Thriller,en,0.6,United States of America,30/03/1990,0,0,0,0
0.208333333,tt0020324,The Return of Sherlock Holmes,FALSE,Mystery,en,0.6,United States of America,26/10/1929,0,0,0,0
0.209722222,tt0475951,Die Dreigroschenoper,FALSE,Drama,de,1.341,Germany,1/01/2004,0,0,0,0
0.210416667,tt0341491,Mörderherz,FALSE,Crime,de,0.6,Germany,1/01/2002,0,0,0,0
0.211111111,tt0300262,Newenas weite Reise,FALSE,Family,de,0.6,Germany,8/11/2001,0,0,5,1
0.211805556,tt4144932,Antony and Cleopatra,FALSE,Drama,en,1.27,Canada,21/05/2015,0,0,4,1
0.2125,tt0295393,Die Liebe meines Lebens,FALSE,Drama,de,0.6,Germany,19/09/2001,0,0,5.5,2
0.213888889,tt4144766,Stratford Festival: King John,FALSE,Drama,en,0.722,Canada,9/04/2015,0,0,9,2
0.214583333,,Laurent Paquin - L'ereure est humaine,FALSE,Comedy,fr,0.6,NA,1/12/2015,0,0,0,0
0.215277778,tt0084309,Massarati and the Brain,FALSE,NA,en,0.6,NA,26/08/1982,0,0,0,0
0.216666667,tt5457722,<U+0C2C><U+0C4D><U+0C30><U+0C39><U+0C4D><U+0C2E><U+0C4B><U+0C24><U+0C4D><U+0C38><U+0C35><U+0C02>,FALSE,Family,te,2.312,India,20/05/2016,11000000,10000000,4.3,9
0.217361111,tt0112632,"Carlos Monzón, el segundo juicio",FALSE,Drama,es,1.4,Argentina,11/01/1996,0,0,5.7,3
0.218055556,,GlitterBomb,FALSE,Documentary,en,0.6,NA,11/11/2015,0,0,0,0
0.219444444,tt5150742,UFC 194: Aldo vs. McGregor,FALSE,NA,en,2.159,NA,12/12/2015,0,0,7,10
0.220138889,tt0930633,Visual Dictionary of Ballet for Children,FALSE,Family,en,0.6,NA,5/07/2005,0,0,0,0
0.220833333,tt3109092,Kalki,FALSE,NA,en,0.6,India,10/10/2013,0,0,6,1
0.221527778,tt3996490,Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,FALSE,Action,ja,36.842,Japan,31/12/1993,0,0,6.8,18
0.222222222,tt9057238,Kyutai Panic Adventure!,FALSE,Animation,ja,0.6,Japan,1/01/2003,0,0,5,1
0.222916667,tt9057228,Kyutai Panic Adventure Returns!,FALSE,Action,ja,0.6,Japan,1/01/2004,0,0,4,1
0.223611111,tt0313964,Devathai,FALSE,Action,ta,0.6,India,27/06/1997,0,0,0,0
0.224305556,tt0210649,La diosa del puerto,FALSE,NA,en,0.6,NA,5/12/1990,0,0,3,3
0.225,tt0315797,<U+0B85><U+0BB5><U+0BA4><U+0BBE><U+0BB0><U+0BAE><U+0BCD>,FALSE,Action,ta,0.664,India,9/06/1995,0,0,5.5,2
0.225694444,,Pièce montée,FALSE,Comedy,fr,0.6,France,1/12/1991,0,0,8,1
0.226388889,tt2162673,Mother-Daughter Exchange Club 12,TRUE,Romance,en,0.6,United States of America,12/03/2010,0,0,0,0
0.227083333,,<U+0BAE><U+0BBE><U+0BAF><U+0BA9><U+0BCD>,FALSE,Action,ta,0.661,India,14/09/2001,0,0,0,0
0.227777778,tt0390376,<U+0BAA><U+0BBE><U+0BAA><U+0BCD> <U+0B95><U+0BBE><U+0BB0><U+0BCD><U+0BA9><U+0BCD>,FALSE,Music,ta,1.4,India,24/01/2003,0,0,5,1
